Atomic Number	Symbol	Name	Group	Classification	Standard Atomic Weight	Attributes	Electron Configurations	Ionic Charges
1	H	Hydrogen	1		1.00794	g	1	0
2	He	Helium	18	Noble Gases	4.002602	g	2	0
3	Li	Lithium	1	Alkali Metals	6.941	s	"2,1"	0
4	Be	Beryllium	2	Alkaline Earth Metals	9.012182	s	"2,2"	0
5	B	Boron	13	Nonmetals	10.811	s	"2,3"	0
6	C	Carbon	14	Nonmetals	12.0107	s	"2,4"	0
7	N	Nitrogen	15	Nonmetals	14.00674	g	"2,5"	0
8	O	Oxygen	16	Nonmetals	15.994	g	"2,6"	0
9	F	Fluorine	17	Nonmetals	18.9984032	g	"2,7"	0
10	Ne	Neon	18	Noble Gases	20.1797	g	"2,8"	0
11	Na	Sodium	1	Alkali Metals	22.98977	s	"2,8,1"	0
12	Mg	Magnesium	2	Alkaline Earth Metals	24.305	s	"2,8,2"	0
13	Al	Aluminum	13	Poor Metals	26.981538	s	"2,8,3"	0
14	Si	Silicon	14	Nonmetals	28.0855	s	"2,8,4"	0
15	P	Phosphorus	15	Nonmetals	30.973761	s	"2,8,5"	0
16	S	Sulfur	16	Nonmetals	32.066	s	"2,8,6"	0
17	Cl	Chlorine	17	Nonmetals	35.453	g	"2,8,7"	0
18	Ar	Argon	18	Noble Gases	39.948	g	"2,8,8"	0
19	K	Potassium	1	Alkali Metals	39.0983	s	"2,8,8,1"	0
20	Ca	Calcium	2	Alkaline Earth Metals	40.078	s	"2,8,8,2"	0
21	Sc	Scandium	3	Transition Metals	44.95591	s	"2,8,9,2"	0
22	Ti	Titanium	4	Transition Metals	47.867	s	"2,8,10,2"	0
23	V	Vanadium	5	Transition Metals	50.9415	s	"2,8,11,2"	0
24	Cr	Chromium	6	Transition Metals	51.9961	s	"2,8,13,1"	0
25	Mn	Manganese	7	Transition Metals	54.938049	s	"2,8,13,2"	0
26	Fe	Iron	8	Transition Metals	55.8457	s	"2,8,14,2"	0
27	Co	Cobalt	9	Transition Metals	58.9332	s	"2,8,15,2"	0
28	Ni	Nickel	10	Transition Metals	58.6934	s	"2,8,16,2"	0
29	Cu	Copper	11	Transition Metals	63.546	s	"2,8,18,1"	0
30	Zn	Zinc	12	Transition Metals	65.409	s	"2,8,18,2"	0
31	Ga	Gallium	13	Poor Metals	69.723	s	"2,8,18,3"	0
32	Ge	Germanium	14	Poor Metals	72.64	s	"2,8,18,4"	0
33	As	Arsenic	15	Nonmetals	74.9216	s	"2,8,18,5"	0
34	Se	Selenium	16	Nonmetals	78.96	s	"2,8,18,6"	0
35	Br	Bromine	17	Nonmetals	79.904	l	"2,8,18,7"	0
36	Kr	Krypton	18	Noble Gases	83.798	g	"2,8,18,8"	0
37	Rb	Rubidium	1	Alkali Metals	85.4678	s	"2,8,18,8,1"	0
38	Sr	Strontium	2	Alkaline Earth Metals	87.62	s	"2,8,18,8,2"	0
39	Y	Yttrium	3	Transition Metals	88.90585	s	"2,8,18,9,2"	0
40	Zr	Zirconium	4	Transition Metals	91.224	s	"2,8,18,10,2"	0
41	Nb	Niobium	5	Transition Metals	92.90638	s	"2,8,18,12,1"	0
42	Mo	Molybdenum	6	Transition Metals	95.94	s	"2,8,18,13,1"	0
43	Tc	Technetium	7	Transition Metals	98	"s,y,r"	"2,8,18,13,2"	0
44	Ru	Ruthenium	8	Transition Metals	101.07	s	"2,8,18,15,1"	0
45	Rh	Rhodium	9	Transition Metals	102.9055	s	"2,8,18,16,1"	0
46	Pd	Paladium	10	Transition Metals	106.42	s	"2,8,18,18,0"	0
47	Ag	Silver	11	Transition Metals	107.8682	s	"2,8,18,18,1"	0
48	Cd	Cadmium	12	Transition Metals	112.411	s	"2,8,18,18,2"	0
49	In	Indium	13	Poor Metals	114.818	s	"2,8,18,18,3"	0
50	Sn	Tin	14	Poor Metals	118.71	s	"2,8,18,18,4"	0
51	Sb	Antimony	15	Poor Metals	121.76	s	"2,8,18,18,5"	0
52	Te	Tellurium	16	Nonmetals	127.6	s	"2,8,18,18,6"	0
53	I	Iodine	17	Nonmetals	126.90447	s	"2,8,18,18,7"	0
54	Xe	Xenon	18	Noble Gases	131.293	g	"2,8,18,18,8"	0
55	Cs	Cesium	1	Alkali Metals	132.90545	s	"2,8,18,18,8,1"	0
56	Ba	Barium	2	Alkaline Earth Metals	137.327	s	"2,8,18,18,8,2"	0
57	La	Lanthanum	3	Transition Metals	138.9055	s	"2,8,18,18,9,2"	0
58	Ce	Cerium		Lanthanide Series	140.116	s	"2,8,18,19,9,2"	0
59	Pr	Praseodymium		Lanthanide Series	140.90765	s	"2,8,18,21,8,2"	0
